date,market,open_interest,managed_money_long,managed_money_short,managed_money_spread,managed_money_net,managed_money_net_to_oi
2021-01-05,GOLD - COMMODITY EXCHANGE INC.,568888,167096,50527,32294,116569,0.20490676547932107
2021-01-12,GOLD - COMMODITY EXCHANGE INC.,555538,131057,52823,37857,78234,0.14082565009054285
2021-01-19,GOLD - COMMODITY EXCHANGE INC.,541330,127161,49090,50044,78071,0.14422071564480077
2021-01-26,GOLD - COMMODITY EXCHANGE INC.,534574,142815,46416,38435,96399,0.18032863551164105
2021-02-02,GOLD - COMMODITY EXCHANGE INC.,520011,137062,49284,39241,87778,0.16880027537879005
2021-02-09,GOLD - COMMODITY EXCHANGE INC.,506741,134733,47093,37196,87640,0.17294831087281273
2021-02-16,GOLD - COMMODITY EXCHANGE INC.,503016,125997,58041,34413,67956,0.1350970943270194
2021-02-23,GOLD - COMMODITY EXCHANGE INC.,481125,125124,56001,35977,69123,0.14366952455183166
2021-03-02,GOLD - COMMODITY EXCHANGE INC.,467008,106608,60648,37077,45960,0.09841373167054954
2021-03-09,GOLD - COMMODITY EXCHANGE INC.,473871,96223,66793,30316,29430,0.06210550972733086
2021-03-16,GOLD - COMMODITY EXCHANGE INC.,476467,100669,59548,34231,41121,0.08630398327691109
2021-03-23,GOLD - COMMODITY EXCHANGE INC.,485457,107941,64420,31391,43521,0.08964954671577503
2021-03-30,GOLD - COMMODITY EXCHANGE INC.,467321,113009,69936,27280,43073,0.09217005013684385
2021-04-06,GOLD - COMMODITY EXCHANGE INC.,463353,121563,55091,26229,66472,0.14345865894900864
2021-04-13,GOLD - COMMODITY EXCHANGE INC.,460733,112070,58263,24810,53807,0.11678564374594397
2021-04-20,GOLD - COMMODITY EXCHANGE INC.,471738,116843,60419,25335,56424,0.11960876588275696
2021-04-27,GOLD - COMMODITY EXCHANGE INC.,473305,117144,66493,25430,50651,0.10701556079061071
2021-05-04,GOLD - COMMODITY EXCHANGE INC.,470341,117434,63809,25208,53625,0.11401302459279544
